One Hell of a Day,The Russian Tanker,81227d6a-c059-41c5-b4a7-c9c134170a2c,,,,,,won,,,,,Bananner Nababber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Day,MrCooper,c9a67a56-2676-4874-ae81-7f991f414790,,,,,,won,,,,,Save the Reactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Day,actor-river,171aeeb8-555c-41eb-b18d-49ea572b8061,,,,,,won,,,,,Savant - Ascent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Day,Ben,9eb48426-4d19-4278-9fae-e66fc3daecce,,,,,,won,,,,,Donut Dodo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,SomeMugger,422108a7-731d-49da-ad8c-4c605b1bb181,,,,,,won,,,,,Akane,Tadpole Treble,REVOLVER360 RE:ACTOR,High Hell,Overclocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,Uzzbuzz,9e83dc6b-9c6b-4949-9928-722636f749ab,,,,,,won,,,,,Outbuddies,Sound Slide,Jet Buster,Desync,Salmon Ninja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,LoyalDeath,36cb85be-ab7b-4293-b7ac-c2920297eaa2,,,,,,won,,,,,Hotline Miami,Neo Neo,Godstrike,God Damn the Garden,1001 Spikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,Legion,9b3ba1a6-e3b2-4966-a142-1ffa05002f97,,,,,,won,,,,,Dispersio 2,Dino Run DX,LinearShooter Remixed,A Story About My Uncle,Spectraball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,Wantarou,eebbf608-18b4-4f40-9bbb-1c49b9c64fe0,,,,,,won,,,,,Savant - Ascent,FutureGrind,Gunlocked,A Story About My Uncle,ALTF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,Zelda,16e75bae-270a-48f0-abe9-5de4c81d3784,,,,,,won,,,,,Aggelos,oO,Prologue for a Vacant Kingdom,DeadCore,Heads Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,CraziiPanduh,c3375b74-d5d4-43b5-bffb-434917427071,,,,,,won,,,,,Bananner Nababber,Spingun,Linear Shooter,Neon Boost,Inside My Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,Breed,319f5820-b03e-4052-b737-259b0cd5c207,,,,,,won,,,,,Anarcute,Getting Over It,Marimoth,Transpire,Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,leaf,89a106f5-4c9b-4b81-be82-fb3d360bf654,,,,,,won,,,,,NInjin: Clash of Carrots,Aliens Go Home Run,Ellipsis,Pacify,LOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,Uribo,1dac4120-0b2d-4f93-8ad3-c7b971447837,,,,,,won,,,,,Mini Ghost,Neo Neo,Prologue for a Vacant Kingdom,Neon Boost,Ascent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,Natalie,75875716-9a2e-44c1-bca4-0ba3aeb7f927,,,,,,won,,,,,Apple Slash,Nights Into Dreams,Jet Buster,High Hell,"Quickly, Quackley!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,FluffFeLuca,5783e633-845c-4f2e-a753-847e50931ee2,,,,,,won,,,,,Akane,Tetradecagon,PuPaiPo Space Deluxe,Slender: the Arrival,Big Flappy Tower VS Tiny Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,Folkius,67bce20e-3306-4b83-8027-d6894d474740,,,,,,won,,,,,Cybarian,Speed Limit,RefleX,Slender: the Arrival,Platformity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,ZALOLO,b10b609b-331b-4215-b208-23765ef43f86,,,,,,won,,,,,Mega Serval,Sullen,Void Prison,Alien Removal Division,Konrad the Rocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,Kostucha,7c2c6d6b-ffc2-49c7-8c9c-26b8455eb26f,,,,,,won,,,,,Akane,Speed Limit,Blast Rush Classic,Neon Boost,Super Hamster Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,emma,5d63666a-964c-45bb-be81-85510ed1f20c,,,,,,won,,,,,Akane,Fortix,The Treehouse Man,High Hell,Exception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,Nuepiyoo,42eeb080-51e4-403d-9330-23dadd5d8e79,,,,,,won,,,,,Savant - Ascent,Getting Over It with Bennett Foddy,PuPaiPo Space Deluxe,Lovely Planet Arcade,Flem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,cos65535,420d58f6-fa38-487f-ba11-011fba3ffdc4,,,,,,won,,,,,Mega Serval,Duke Dashington,Ellipsis,Alien Removal Division,Pain Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,Schmole,f79b9aa8-b7c1-43b9-95e3-c50c35120a22,,,,,,won,,,,,Akane,Peggle Extreme,#Snake2 DX: Reawakening,Alien Removal Division,One Gun Guy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,KingConn,5053c1de-d3cf-4c5e-92e8-ec90607cde11,,,,,,won,,,,,Bananner Nababber,Arcane Golf,Godstrike,Heroine of the Sniper,Darkour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,thatguy,aeeae58d-74f3-44be-8755-a277b2f85643,,,,,,won,,,,,Akane,Tetradecagon,Blazend,Transpire,System Purge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,Retsu,37a70c4a-4e33-43b2-95bb-4b4d0e447ba8,,,,,,won,,,,,Cybarian,MINICHEF,#Snake2 DX: Reawakening,Transpire,Another Perspective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hell of a Week,rajanb,4594b715-eeab-4bcf-a23c-11ba0737a8f9,,,,,,won,,,,,UBERMOSH:OMEGA,Flipon,Crucible,Alien Removal Division,Pixboy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
